# Wall shear stress
# Time        	patch         	min           	max           
0.4           	leftWall	(-6.784383e-03 -9.068378e-03 -3.863784e-01)	(6.783812e-03 1.416727e-02 -1.710479e-01)
0.4           	rightWall	(-1.013779e-03 -2.727704e-03 -5.292365e-01)	(1.012984e-03 3.396143e-03 -3.364051e-01)
0.8           	leftWall	(-1.772038e-02 -8.417763e-03 -5.101887e-01)	(1.771735e-02 2.010017e-02 -1.791299e-02)
0.8           	rightWall	(-2.543233e-03 -4.594127e-03 -6.896827e-01)	(2.544668e-03 5.267525e-03 -3.923613e-01)
1.2           	leftWall	(-2.963392e-02 -1.478290e-02 -6.145017e-01)	(2.963084e-02 1.540861e-02 2.145692e-01)
1.2           	rightWall	(-5.276099e-03 -4.638201e-03 -7.205895e-01)	(5.275388e-03 5.813955e-03 -4.061887e-01)
1.6           	leftWall	(-5.475487e-02 -1.629444e-02 -7.178741e-01)	(5.474357e-02 6.324062e-03 2.303852e-01)
1.6           	rightWall	(-1.144268e-02 -5.108056e-03 -7.385281e-01)	(1.144376e-02 6.450331e-03 -3.988074e-01)
2             	leftWall	(-5.681901e-02 -2.437895e-02 -5.715877e-01)	(5.681889e-02 5.587074e-03 9.848137e-02)
2             	rightWall	(-1.104121e-02 -5.177695e-03 -7.338964e-01)	(1.104268e-02 6.415017e-03 -3.930862e-01)
2.4           	leftWall	(-6.311149e-02 -4.039193e-02 -5.467890e-01)	(6.311273e-02 5.717137e-03 8.148932e-02)
2.4           	rightWall	(-1.545084e-02 -5.568465e-03 -7.420078e-01)	(1.545409e-02 6.748056e-03 -3.862692e-01)
2.8           	leftWall	(-6.860977e-02 -4.511376e-02 -5.507898e-01)	(6.861466e-02 5.809779e-03 8.453884e-02)
2.8           	rightWall	(-1.934542e-02 -5.720326e-03 -7.488584e-01)	(1.934901e-02 6.935722e-03 -3.800669e-01)
3.2           	leftWall	(-7.351901e-02 -5.291463e-02 -5.534531e-01)	(7.352623e-02 5.920783e-03 8.807598e-02)
3.2           	rightWall	(-2.320702e-02 -5.861718e-03 -7.572398e-01)	(2.320780e-02 7.106080e-03 -3.732582e-01)
3.6           	leftWall	(-7.748939e-02 -6.034896e-02 -5.545338e-01)	(7.749902e-02 5.984456e-03 8.801431e-02)
3.6           	rightWall	(-2.688022e-02 -5.980541e-03 -7.650819e-01)	(2.688206e-02 7.231626e-03 -3.676336e-01)
4             	leftWall	(-8.011964e-02 -7.151031e-02 -5.540189e-01)	(8.012992e-02 6.035799e-03 8.401858e-02)
4             	rightWall	(-3.030311e-02 -6.092318e-03 -7.727261e-01)	(3.030461e-02 7.338331e-03 -3.636227e-01)
4.4           	leftWall	(-8.245662e-02 -8.505139e-02 -5.544641e-01)	(8.246666e-02 6.112799e-03 8.204796e-02)
4.4           	rightWall	(-3.391084e-02 -6.212068e-03 -7.803009e-01)	(3.391218e-02 7.468819e-03 -3.602916e-01)
4.8           	leftWall	(-8.421526e-02 -9.803839e-02 -5.528194e-01)	(8.422689e-02 6.142442e-03 7.708646e-02)
4.8           	rightWall	(-3.714166e-02 -6.294669e-03 -7.872040e-01)	(3.714373e-02 7.547645e-03 -3.576008e-01)
5.2           	leftWall	(-8.528894e-02 -1.108526e-01 -5.499423e-01)	(8.529977e-02 6.150256e-03 6.882592e-02)
5.2           	rightWall	(-4.009689e-02 -6.362962e-03 -7.937230e-01)	(4.009908e-02 7.608389e-03 -3.550841e-01)
5.6           	leftWall	(-8.614093e-02 -1.218065e-01 -5.470123e-01)	(8.615171e-02 6.143078e-03 6.187519e-02)
5.6           	rightWall	(-4.290025e-02 -6.429016e-03 -7.999093e-01)	(4.290265e-02 7.665800e-03 -3.527844e-01)
6             	leftWall	(-8.699736e-02 -1.365961e-01 -5.458053e-01)	(8.700889e-02 6.172578e-03 5.570112e-02)
6             	rightWall	(-4.581879e-02 -6.505574e-03 -8.060784e-01)	(4.582197e-02 7.753313e-03 -3.505715e-01)
6.4           	leftWall	(-8.754811e-02 -1.488466e-01 -5.442937e-01)	(8.756067e-02 6.165098e-03 5.402653e-02)
