# Wall shear stress
# Time        	patch         	min           	max           
0.4           	leftWall	(-2.872506e-02 -1.237371e-01 2.405752e-01)	(4.105686e-02 6.878149e-06 1.925150e+00)
0.4           	rightWall	(-5.781036e-02 -3.889961e-05 3.573740e-01)	(4.131387e-02 2.958347e-01 2.405183e+00)
0.8           	leftWall	(-3.267697e-02 -1.240240e-01 1.636984e-01)	(6.742515e-02 -7.162183e-07 1.930530e+00)
0.8           	rightWall	(-4.524714e-02 -7.117800e-06 3.073254e-01)	(4.075047e-02 2.959061e-01 2.411465e+00)
1.2           	leftWall	(-2.804778e-02 -1.247659e-01 1.363839e-01)	(1.688466e-02 -3.210329e-06 1.941350e+00)
1.2           	rightWall	(-5.326776e-02 2.821632e-06 3.149509e-01)	(8.559805e-02 2.918816e-01 2.476266e+00)
1.6           	leftWall	(-2.003704e-02 -1.210226e-01 1.218336e-01)	(2.988256e-02 -6.523983e-06 1.918364e+00)
1.6           	rightWall	(-7.696629e-02 1.223423e-06 3.320110e-01)	(7.877617e-02 2.917527e-01 2.401241e+00)
2             	leftWall	(-6.689336e-02 -1.213759e-01 1.180679e-01)	(3.567862e-02 -1.246428e-05 1.939667e+00)
2             	rightWall	(-5.452146e-02 -2.337979e-06 3.405117e-01)	(4.163713e-02 2.919059e-01 2.455790e+00)
2.4           	leftWall	(-4.158103e-02 -1.312181e-01 1.175513e-01)	(4.500359e-02 -1.335384e-05 1.939334e+00)
2.4           	rightWall	(-6.092960e-02 -2.005861e-06 3.449696e-01)	(2.084485e-02 2.888196e-01 2.396527e+00)
2.8           	leftWall	(-4.324036e-02 -1.218516e-01 1.149708e-01)	(5.162305e-02 -1.364533e-05 1.898530e+00)
2.8           	rightWall	(-6.742009e-02 -7.583288e-06 3.456119e-01)	(4.085901e-02 2.893384e-01 2.406336e+00)
3.2           	leftWall	(-5.834439e-02 -1.233540e-01 1.172958e-01)	(6.889461e-02 -1.474949e-05 1.910307e+00)
3.2           	rightWall	(-4.072299e-02 -1.316222e-06 3.442825e-01)	(5.591797e-02 2.907130e-01 2.409383e+00)
3.6           	leftWall	(-1.388132e-02 -1.201241e-01 1.158508e-01)	(3.079499e-02 -1.136058e-05 1.910251e+00)
3.6           	rightWall	(-6.044617e-02 -5.547486e-06 3.468572e-01)	(2.783889e-02 2.919390e-01 2.416367e+00)
4             	leftWall	(-2.970070e-02 -1.243268e-01 1.159088e-01)	(5.321404e-02 -1.410986e-05 1.915338e+00)
4             	rightWall	(-1.327128e-01 -9.040290e-06 3.462108e-01)	(4.402151e-02 2.896889e-01 2.466066e+00)
4.4           	leftWall	(-2.861655e-02 -1.233529e-01 1.120552e-01)	(2.741084e-02 -1.399085e-05 1.942264e+00)
4.4           	rightWall	(-4.449405e-02 -2.756820e-07 3.451009e-01)	(9.824326e-02 2.933362e-01 2.424478e+00)
4.8           	leftWall	(-2.102711e-02 -1.224501e-01 1.152198e-01)	(2.469532e-02 -1.193031e-05 1.916851e+00)
4.8           	rightWall	(-3.611914e-02 -3.614399e-06 3.470832e-01)	(4.371583e-02 2.933844e-01 2.446441e+00)
5.2           	leftWall	(-5.380783e-02 -1.213926e-01 1.166643e-01)	(3.683290e-02 -1.413576e-05 1.930834e+00)
5.2           	rightWall	(-3.481720e-02 -4.246923e-06 3.454177e-01)	(2.938245e-02 2.878613e-01 2.393759e+00)
5.6           	leftWall	(-3.030318e-02 -1.229083e-01 1.176088e-01)	(2.956321e-02 -1.243981e-05 1.913975e+00)
5.6           	rightWall	(-5.577016e-02 -3.343224e-06 3.456942e-01)	(6.207635e-02 2.928664e-01 2.425198e+00)
6             	leftWall	(-5.623904e-02 -1.315556e-01 1.158272e-01)	(4.942463e-02 -1.260186e-05 1.930562e+00)
6             	rightWall	(-8.758613e-02 -1.096818e-07 3.440295e-01)	(5.256522e-02 2.913942e-01 2.449492e+00)
6.4           	leftWall	(-4.144793e-02 -1.263751e-01 1.162406e-01)	(2.005033e-02 -1.307892e-05 1.914354e+00)
6.4           	rightWall	(-1.060898e-01 -1.858400e-06 3.471919e-01)	(6.540523e-02 2.901352e-01 2.507761e+00)
6.8           	leftWall	(-4.356799e-02 -1.261075e-01 1.155934e-01)	(3.001329e-02 -1.345793e-05 1.960022e+00)
6.8           	rightWall	(-5.309161e-02 -3.837158e-07 3.451176e-01)	(2.674606e-02 2.882437e-01 2.428314e+00)
7.2           	leftWall	(-3.510387e-02 -1.259035e-01 1.170864e-01)	(5.156110e-02 -1.433172e-05 1.962465e+00)
7.2           	rightWall	(-6.686714e-02 -4.590291e-06 3.471545e-01)	(2.984809e-02 2.921123e-01 2.437863e+00)
7.6           	leftWall	(-1.485348e-02 -1.211485e-01 1.160544e-01)	(2.001934e-02 -1.353252e-05 1.928221e+00)
7.6           	rightWall	(-8.866221e-02 -1.846000e-06 3.457363e-01)	(4.159347e-02 2.883216e-01 2.408448e+00)
8             	leftWall	(-3.015350e-02 -1.255625e-01 1.164990e-01)	(3.075375e-02 -1.221344e-05 1.932153e+00)
8             	rightWall	(-6.343124e-02 -3.664323e-06 3.462154e-01)	(2.864045e-02 2.933950e-01 2.395506e+00)
8.4           	leftWall	(-3.469533e-02 -1.255985e-01 1.182556e-01)	(3.555970e-02 -1.480503e-05 1.958177e+00)
8.4           	rightWall	(-2.726979e-02 -6.707474e-07 3.466942e-01)	(3.404245e-02 2.917144e-01 2.421026e+00)
8.8           	leftWall	(-3.127769e-02 -1.257187e-01 1.190855e-01)	(4.073494e-02 -1.151336e-05 1.907386e+00)
8.8           	rightWall	(-2.512843e-02 -3.614165e-06 3.466723e-01)	(6.246526e-02 2.942538e-01 2.393640e+00)
9.2           	leftWall	(-2.380601e-02 -1.241571e-01 1.152885e-01)	(3.529489e-02 -1.435277e-05 1.936045e+00)
9.2           	rightWall	(-6.141659e-02 -2.260876e-06 3.461080e-01)	(4.514863e-02 2.917595e-01 2.390553e+00)
9.6           	leftWall	(-3.380507e-02 -1.256069e-01 1.176681e-01)	(4.774786e-02 -1.410573e-05 1.936733e+00)
9.6           	rightWall	(-4.327097e-02 -2.647901e-06 3.465807e-01)	(5.395436e-02 2.929523e-01 2.416139e+00)
10            	leftWall	(-4.986030e-02 -1.229064e-01 1.162583e-01)	(1.193275e-02 -1.193531e-05 1.927802e+00)
10            	rightWall	(-1.075513e-01 -1.491740e-07 3.442091e-01)	(9.334360e-02 2.914258e-01 2.475565e+00)
10.4          	leftWall	(-4.665106e-02 -1.264450e-01 1.176370e-01)	(4.285403e-02 -1.440129e-05 1.909021e+00)
10.4          	rightWall	(-5.866768e-02 -5.292676e-06 3.452451e-01)	(3.975807e-02 2.922555e-01 2.440585e+00)
10.8          	leftWall	(-5.312392e-02 -1.252962e-01 1.147092e-01)	(4.038666e-02 -1.219467e-05 1.904169e+00)
10.8          	rightWall	(-4.706889e-02 -3.258845e-06 3.453311e-01)	(6.312841e-02 2.906887e-01 2.405876e+00)
11.2          	leftWall	(-7.065516e-02 -1.234568e-01 1.143401e-01)	(2.846766e-02 -1.312053e-05 1.910998e+00)
11.2          	rightWall	(-2.286689e-02 -2.974431e-06 3.454413e-01)	(5.300830e-02 2.888300e-01 2.396663e+00)
