# Region type : patch rightWall
# Faces       : 100
# Area        : 5.400000e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(heatTransferCoeff(T))	areaAverage(wallShearStress)	areaAverage(T)
0.4           	-5.104577e+02	(6.666376e-10 6.870798e-04 -3.791547e-01)	3.130000e+02
0.8           	-3.940973e+02	(2.401349e-09 1.785223e-04 -4.611337e-01)	3.130000e+02
1.2           	-3.468363e+02	(1.056641e-09 6.169392e-05 -4.817321e-01)	3.130000e+02
1.6           	-3.209304e+02	(7.439620e-09 2.659158e-05 -4.835527e-01)	3.130000e+02
2             	-3.060187e+02	(9.969048e-09 2.582655e-05 -4.822774e-01)	3.130000e+02
2.4           	-2.974503e+02	(5.433719e-08 2.604505e-05 -4.824938e-01)	3.130000e+02
2.8           	-2.925317e+02	(6.876287e-08 3.169276e-05 -4.828581e-01)	3.130000e+02
3.2           	-2.897271e+02	(1.987020e-08 3.731440e-05 -4.834870e-01)	3.130000e+02
3.6           	-2.883004e+02	(-1.252396e-08 4.290593e-05 -4.842071e-01)	3.130000e+02
4             	-2.879046e+02	(-5.383420e-08 4.637193e-05 -4.848512e-01)	3.130000e+02
4.4           	-2.883121e+02	(-9.034679e-08 4.824114e-05 -4.853622e-01)	3.130000e+02
4.8           	-2.892769e+02	(-1.204173e-07 5.054641e-05 -4.856616e-01)	3.130000e+02
5.2           	-2.906974e+02	(-1.480505e-07 5.183599e-05 -4.858411e-01)	3.130000e+02
5.6           	-2.925121e+02	(-1.713696e-07 5.247081e-05 -4.859335e-01)	3.130000e+02
6             	-2.947081e+02	(-1.930901e-07 5.210829e-05 -4.859553e-01)	3.130000e+02
6.4           	-2.971390e+02	(-2.126459e-07 5.230616e-05 -4.859030e-01)	3.130000e+02
6.8           	-2.997863e+02	(-2.316952e-07 5.203364e-05 -4.858498e-01)	3.130000e+02
7.2           	-3.025637e+02	(-2.487466e-07 5.286310e-05 -4.857463e-01)	3.130000e+02
7.6           	-3.054612e+02	(-2.632168e-07 5.312809e-05 -4.856000e-01)	3.130000e+02
8             	-3.084100e+02	(-2.788747e-07 5.377014e-05 -4.853818e-01)	3.130000e+02
8.4           	-3.114623e+02	(-2.958845e-07 5.320909e-05 -4.851292e-01)	3.130000e+02
8.8           	-3.145767e+02	(-3.149435e-07 5.284665e-05 -4.847888e-01)	3.130000e+02
9.2           	-3.177659e+02	(-3.363345e-07 5.166641e-05 -4.844442e-01)	3.130000e+02
9.6           	-3.209458e+02	(-3.575506e-07 5.133683e-05 -4.840564e-01)	3.130000e+02
10            	-3.241215e+02	(-3.785139e-07 5.067390e-05 -4.836958e-01)	3.130000e+02
10.4          	-3.273004e+02	(-3.981951e-07 4.995300e-05 -4.833237e-01)	3.130000e+02
10.8          	-3.305144e+02	(-4.202635e-07 4.857481e-05 -4.829515e-01)	3.130000e+02
11.2          	-3.336681e+02	(-4.392276e-07 4.819856e-05 -4.825384e-01)	3.130000e+02
11.6          	-3.368247e+02	(-4.597874e-07 4.688485e-05 -4.821636e-01)	3.130000e+02
12            	-3.399656e+02	(-4.800619e-07 4.575979e-05 -4.817743e-01)	3.130000e+02
12.4          	-3.430142e+02	(-4.966455e-07 4.541266e-05 -4.813752e-01)	3.130000e+02
12.8          	-3.460535e+02	(-5.141333e-07 4.410589e-05 -4.810122e-01)	3.130000e+02
13.2          	-3.490624e+02	(-5.309905e-07 4.301892e-05 -4.806300e-01)	3.130000e+02
13.6          	-3.519647e+02	(-5.438360e-07 4.277106e-05 -4.802375e-01)	3.130000e+02
14            	-3.548488e+02	(-5.578795e-07 4.154001e-05 -4.798763e-01)	3.130000e+02
14.4          	-3.576938e+02	(-5.713300e-07 4.050991e-05 -4.794992e-01)	3.130000e+02
14.8          	-3.604792e+02	(-5.841183e-07 3.952989e-05 -4.791278e-01)	3.130000e+02
15.2          	-3.632072e+02	(-5.958863e-07 3.855019e-05 -4.787671e-01)	3.130000e+02
15.6          	-3.658791e+02	(-6.073762e-07 3.758637e-05 -4.784142e-01)	3.130000e+02
16            	-3.684929e+02	(-6.177814e-07 3.666005e-05 -4.780674e-01)	3.130000e+02
16.4          	-3.710472e+02	(-6.276121e-07 3.574588e-05 -4.777261e-01)	3.130000e+02
16.8          	-3.735415e+02	(-6.362910e-07 3.485084e-05 -4.773881e-01)	3.130000e+02
17.2          	-3.759737e+02	(-6.437540e-07 3.399431e-05 -4.770501e-01)	3.130000e+02
17.6          	-3.783420e+02	(-6.514977e-07 3.321736e-05 -4.767104e-01)	3.130000e+02
18            	-3.806453e+02	(-6.575668e-07 3.247540e-05 -4.763698e-01)	3.130000e+02
18.4          	-3.828858e+02	(-6.637927e-07 3.175505e-05 -4.760313e-01)	3.130000e+02
18.8          	-3.850623e+02	(-6.684175e-07 3.103717e-05 -4.756901e-01)	3.130000e+02
19.2          	-3.871742e+02	(-6.724663e-07 3.037863e-05 -4.753479e-01)	3.130000e+02
19.6          	-3.892253e+02	(-6.768516e-07 2.972605e-05 -4.750105e-01)	3.130000e+02
20            	-3.912192e+02	(-6.787421e-07 2.909869e-05 -4.746800e-01)	3.130000e+02
20.4          	-3.931583e+02	(-6.815611e-07 2.847017e-05 -4.743559e-01)	3.130000e+02
20.8          	-3.950430e+02	(-6.814700e-07 2.780954e-05 -4.740369e-01)	3.130000e+02
21.2          	-3.968746e+02	(-6.828180e-07 2.719158e-05 -4.737235e-01)	3.130000e+02
21.6          	-3.987138e+02	(-6.851656e-07 2.567258e-05 -4.734203e-01)	3.130000e+02
22            	-4.004557e+02	(-6.851280e-07 2.527016e-05 -4.731064e-01)	3.130000e+02
22.4          	-4.021325e+02	(-6.845923e-07 2.469697e-05 -4.728214e-01)	3.130000e+02
22.8          	-4.037656e+02	(-6.835569e-07 2.411066e-05 -4.725414e-01)	3.130000e+02
23.2          	-4.053519e+02	(-6.823801e-07 2.359528e-05 -4.722632e-01)	3.130000e+02
23.6          	-4.068910e+02	(-6.807120e-07 2.308859e-05 -4.719894e-01)	3.130000e+02
24            	-4.083860e+02	(-6.779919e-07 2.258354e-05 -4.717204e-01)	3.130000e+02
24.4          	-4.099038e+02	(-6.768040e-07 2.107850e-05 -4.714659e-01)	3.130000e+02
24.8          	-4.113326e+02	(-6.755398e-07 2.075380e-05 -4.712012e-01)	3.130000e+02
25.2          	-4.127040e+02	(-6.721453e-07 2.031153e-05 -4.709596e-01)	3.130000e+02
25.6          	-4.140346e+02	(-6.705261e-07 1.989501e-05 -4.707166e-01)	3.130000e+02
26            	-4.153236e+02	(-6.666678e-07 1.951628e-05 -4.704751e-01)	3.130000e+02
26.4          	-4.165723e+02	(-6.645494e-07 1.912264e-05 -4.702380e-01)	3.130000e+02
26.8          	-4.177838e+02	(-6.604802e-07 1.872936e-05 -4.700041e-01)	3.130000e+02
27.2          	-4.189603e+02	(-6.579075e-07 1.836560e-05 -4.697751e-01)	3.130000e+02
27.6          	-4.201738e+02	(-6.561145e-07 1.693935e-05 -4.695635e-01)	3.130000e+02
28            	-4.213055e+02	(-6.532973e-07 1.679148e-05 -4.693394e-01)	3.130000e+02
28.4          	-4.223876e+02	(-6.497463e-07 1.644800e-05 -4.691397e-01)	3.130000e+02
28.8          	-4.234417e+02	(-6.459615e-07 1.610428e-05 -4.689422e-01)	3.130000e+02
29.2          	-4.244647e+02	(-6.421245e-07 1.580531e-05 -4.687455e-01)	3.130000e+02
29.6          	-4.254556e+02	(-6.382421e-07 1.552403e-05 -4.685507e-01)	3.130000e+02
30            	-4.264172e+02	(-6.342806e-07 1.524567e-05 -4.683591e-01)	3.130000e+02
30.4          	-4.273512e+02	(-6.302583e-07 1.498239e-05 -4.681704e-01)	3.130000e+02
30.8          	-4.282586e+02	(-6.259493e-07 1.473064e-05 -4.679853e-01)	3.130000e+02
31.2          	-4.292143e+02	(-6.225437e-07 1.332038e-05 -4.678165e-01)	3.130000e+02
31.6          	-4.300940e+02	(-6.195181e-07 1.328063e-05 -4.676362e-01)	3.130000e+02
32            	-4.309335e+02	(-6.153229e-07 1.302752e-05 -4.674813e-01)	3.130000e+02
32.4          	-4.317532e+02	(-6.123512e-07 1.278068e-05 -4.673267e-01)	3.130000e+02
32.8          	-4.325484e+02	(-6.074976e-07 1.257879e-05 -4.671713e-01)	3.130000e+02
33.2          	-4.333191e+02	(-6.043119e-07 1.237815e-05 -4.670184e-01)	3.130000e+02
33.6          	-4.340681e+02	(-5.993604e-07 1.217675e-05 -4.668681e-01)	3.130000e+02
34            	-4.347968e+02	(-5.962669e-07 1.198285e-05 -4.667204e-01)	3.130000e+02
34.4          	-4.355061e+02	(-5.909251e-07 1.177988e-05 -4.665759e-01)	3.130000e+02
34.8          	-4.361966e+02	(-5.880386e-07 1.157795e-05 -4.664349e-01)	3.130000e+02
35.2          	-4.368688e+02	(-5.827607e-07 1.137057e-05 -4.662969e-01)	3.130000e+02
35.6          	-4.375228e+02	(-5.798651e-07 1.116743e-05 -4.661621e-01)	3.130000e+02
